MAIN_ID,ANG_DIST,OTYPE,RA,,,,DEC,,,,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST
[CHG2008] B-10,47.58,Star,3.807833333,0,15,13.88,-38.77169444,-39,13,41.9,6,6,,,,D,O,2008A&A...485...41C,3.80783,-39.22831,,,,,,,,,,,,,,,,,,,V,19.274,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,179,,D,O,2008A&A...485...41C,F8I,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C2-52,48.52,Star,3.806291667,0,15,13.51,-38.78530556,-39,12,52.9,6,6,,,,D,O,2008A&A...485...41C,3.80629,-39.21469,,,,,,,,,,,,,,,,,,,V,18.064,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,204,,D,O,2008A&A...485...41C,F5I,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-49,49.52,Star,3.80475,0,15,13.14,-38.783,-39,13,1.2,6,6,,,,D,O,2008A&A...485...41C,3.80475,-39.217,,,,,,,,,,,,,,,,,,,V,19.127,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,165,,D,O,2008A&A...485...41C,A5I,D,2008A&A...485...41C,,,,,,,,,,2
[CHG2008] B-14,50.3,Star,3.837541667,0,15,21.01,-38.78611111,-39,12,50,6,6,,,,D,O,2008A&A...485...41C,3.83754,-39.21389,,,,,,,,,,,,,,,,,,,V,19.677,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,179,,D,O,2008A&A...485...41C,B2V,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-50,52.03,Star,3.80375,0,15,12.9,-38.77569444,-39,13,27.5,6,6,,,,D,O,2008A&A...485...41C,3.80375,-39.22431,,,,,,,,,,,,,,,,,,,V,17.635,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,138,,D,O,2008A&A...485...41C,F5-8I,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] B-7,55.26,Star,3.805458333,0,15,13.31,-38.78788889,-39,12,43.6,6,6,,,,D,O,2008A&A...485...41C,3.80546,-39.21211,,,,,,,,,,,,,,,,,,,V,17.595,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,162,,D,O,2008A&A...485...41C,A0I,D,2008A&A...485...41C,,,,,,,,,,2
[CHG2008] C1-48,55.32,Star,3.804625,0,15,13.11,-38.78688889,-39,12,47.2,6,6,,,,D,O,2008A&A...485...41C,3.80462,-39.21311,,,,,,,,,,,,,,,,,,,V,19.519,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,164,,D,O,2008A&A...485...41C,B0.5I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep009,55.97,Cepheid,3.808291667,0,15,13.99,-38.79072222,-39,12,33.4,6,6,,,,D,I,2008ApJ...672..266G,3.80829,-39.20928,,,,,,,,,,,,,,,,,,,V,20.912,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,J,18.898,0.033,Vega,2008ApJ...672..266G,V,,D,J,,,,,,,,,,K,18.328,0.036,Vega,2008ApJ...672..266G,V,,D,K,,,,,,,,,,,,,,,,,,,2
[CHG2008] C2-51,56.03,Star,3.802833333,0,15,12.68,-38.78430556,-39,12,56.5,6,6,,,,D,O,2008A&A...485...41C,3.80283,-39.21569,,,,,,,,,,,,,,,,,,,V,19.719,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,213,,D,O,2008A&A...485...41C,B9I,D,2008A&A...485...41C,,,,,,,,,,2
[PGS2006] cep081,61.75,Cepheid,3.826083333,0,15,18.26,-38.79608333,-39,12,14.1,6,6,,,,D,I,2008ApJ...672..266G,3.82608,-39.20392,,,,,,,,,,,,,,,,,,,V,22.407,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,J,20.871,0.074,Vega,2008ApJ...672..266G,V,,D,J,,,,,,,,,,K,19.9,0.098,Vega,2008ApJ...672..266G,V,,D,K,,,,,,,,,,,,,,,,,,,2
[CHG2008] C1-47,62.1,Star,3.799666667,0,15,11.92,-38.78088889,-39,13,8.8,6,6,,,,D,O,2008A&A...485...41C,3.79967,-39.21911,,,,,,,,,,,,,,,,,,,V,18.023,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,182,,D,O,2008A&A...485...41C,A0I,D,2008A&A...485...41C,,,,,,,,,,2
[CHG2008] C2-50,62.82,Star,3.80075,0,15,12.18,-38.78538889,-39,12,52.6,6,6,,,,D,O,2008A&A...485...41C,3.80075,-39.21461,,,,,,,,,,,,,,,,,,,V,20.159,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,276,,D,O,2008A&A...485...41C,B1I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep096,63.72,Cepheid,3.843833333,0,15,22.52,-38.77447222,-39,13,31.9,6,6,,,,D,O,2006AJ....132.2556P,3.84383,-39.22553,,,,,,,,,,,,,,,,,,,V,21.982,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[PGS2006] cep108,65.3,Cepheid,3.813291667,0,15,15.19,-38.79613889,-39,12,13.9,6,6,,,,D,O,2006AJ....132.2556P,3.81329,-39.20386,,,,,,,,,,,,,,,,,,,V,22.415,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] B-6,66.32,Star,3.79825,0,15,11.58,-38.78161111,-39,13,6.2,6,6,,,,D,O,2008A&A...485...41C,3.79825,-39.21839,,,,,,,,,,,,,,,,,,,V,19.402,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,176,,D,O,2008A&A...485...41C,G0I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep036,67.04,Cepheid,3.799166667,0,15,11.8,-38.78544444,-39,12,52.4,6,6,,,,D,I,2008ApJ...672..266G,3.79917,-39.21456,,,,,,,,,,,,,,,,,,,V,21.134,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,J,19.059,0.041,Vega,2008ApJ...672..266G,V,,D,J,,,,,,,,,,K,17.734,0.044,Vega,2008ApJ...672..266G,V,,D,K,,,,,,,,,,,,,,,,,,,2
[BWE2015] NGC   55 109,67.59,LMXB,3.8358375,0,15,20.601,-38.79456944,-39,12,19.55,7,7,,,,D,X,2015AJ....150...94B,3.835839,-39.20543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[CHG2008] C2-49,70.12,Star,3.79925,0,15,11.82,-38.78780556,-39,12,43.9,6,6,,,,D,O,2008A&A...485...41C,3.79925,-39.21219,,,,,,,,,,,,,,,,,,,V,20.154,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,235,,D,O,2008A&A...485...41C,B1I,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-46,70.5,Star,3.796583333,0,15,11.18,-38.77830556,-39,13,18.1,6,6,,,,D,O,2008A&A...485...41C,3.79658,-39.22169,,,,,,,,,,,,,,,,,,,V,19.887,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,164,,D,O,2008A&A...485...41C,B2III,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-45,73.07,Star,3.797125,0,15,11.31,-38.786,-39,12,50.4,7,7,,,,D,,2008A&A...485...41C,3.797125,-39.214,,,,,,,,,,,,,,,,,,,V,19.607,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,179,,D,O,2008A&A...485...41C,B1I,C,2008A&A...485...41C,,,,,,,,,,3
[CHG2008] B-5,74.44,Star,3.796125,0,15,11.07,-38.78480556,-39,12,54.7,6,6,,,,D,O,2008A&A...485...41C,3.79613,-39.21519,,,,,,,,,,,,,,,,,,,V,18.759,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,164,,D,O,2008A&A...485...41C,F8I,D,2008A&A...485...41C,,,,,,,,,,1
[BWE2015] NGC   55 120,74.85,HMXB,3.847341667,0,15,23.362,-38.77278333,-39,13,37.98,7,7,,,,D,X,2015AJ....150...94B,3.847343,-39.227216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
[D2019] c-10,74.89,EmObj,3.795,0,15,10.8,-38.78002778,-39,13,11.9,6,6,,,,C,O,2019AJ....158...90D,3.795,-39.21997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C2-48,78.7,Star,3.796833333,0,15,11.24,-38.78938889,-39,12,38.2,6,6,,,,D,O,2008A&A...485...41C,3.79683,-39.21061,,,,,,,,,,,,,,,,,,,V,19.371,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,188,,D,O,2008A&A...485...41C,B5I,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-44,79.96,Star,3.797041667,0,15,11.29,-38.79040278,-39,12,34.55,7,7,,,,D,,2008A&A...485...41C,3.797042,-39.209597,,,,,,,,,,,,,,,,,,,V,19.037,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,181,,D,O,2008A&A...485...41C,B0I,C,2008A&A...485...41C,,,,,,,,,,3
[CHG2008] B-23,81.95,Star,3.851,0,15,24.24,-38.782,-39,13,4.8,6,6,,,,D,O,2008A&A...485...41C,3.851,-39.218,,,,,,,,,,,,,,,,,,,V,19.531,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,209,,D,O,2008A&A...485...41C,B2I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep088,82.63,Cepheid,3.81675,0,15,16.02,-38.80186111,-39,11,53.3,6,6,,,,D,O,2006AJ....132.2556P,3.81675,-39.19814,,,,,,,,,,,,,,,,,,,V,22.852,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[D2019] p2-12,83.62,EmObj,3.792083333,0,15,10.1,-38.78213889,-39,13,4.3,6,6,,,,C,O,2019AJ....158...90D,3.79208,-39.21786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
