F12,x,y,RA,DEC,F22,x1,y1,RA1,DEC1
424.4923401,8,24,3.776915077,-39.17394,127.3075027,8,24,3.776915077,-39.17394
424.9216614,9,24,3.77261529,-39.17394111,127.2982483,9,24,3.77261529,-39.17394111
425.8613586,10,24,3.768315502,-39.17394206,127.3771667,10,24,3.768315502,-39.17394206
426.6416626,11,24,3.764015714,-39.17394285,127.348259,11,24,3.764015714,-39.17394285
426.0348816,12,24,3.759715926,-39.17394348,127.4023438,12,24,3.759715926,-39.17394348
425.6115112,13,24,3.755416138,-39.17394395,127.4289017,13,24,3.755416138,-39.17394395
425.4746399,14,24,3.751116349,-39.17394427,127.4339905,14,24,3.751116349,-39.17394427
426.1543579,15,24,3.746816561,-39.17394443,127.395462,15,24,3.746816561,-39.17394443
426.0145569,16,24,3.742516772,-39.17394443,127.3887329,16,24,3.742516772,-39.17394443
425.8096008,17,24,3.738216984,-39.17394427,127.4348679,17,24,3.738216984,-39.17394427
426.7470093,18,24,3.733917195,-39.17394395,127.4472809,18,24,3.733917195,-39.17394395
426.5424194,19,24,3.729617407,-39.17394348,127.3570251,19,24,3.729617407,-39.17394348
427.10672,20,24,3.725317619,-39.17394285,127.3694992,20,24,3.725317619,-39.17394285
427.5713196,21,24,3.721017831,-39.17394206,127.388916,21,24,3.721017831,-39.17394206
427.9484253,22,24,3.716718043,-39.17394111,127.4752579,22,24,3.716718043,-39.17394111
427.7933655,23,24,3.712418256,-39.17394,127.4442978,23,24,3.712418256,-39.17394
428.1411133,24,24,3.708118469,-39.17393874,127.5249786,24,24,3.708118469,-39.17393874
428.1528625,25,24,3.703818682,-39.17393732,127.4913635,25,24,3.703818682,-39.17393732
427.973999,26,24,3.699518896,-39.17393574,127.4218292,26,24,3.699518896,-39.17393574
427.6151428,27,24,3.695219111,-39.173934,127.4983826,27,24,3.695219111,-39.173934
428.3045349,28,24,3.690919326,-39.1739321,127.5056,28,24,3.690919326,-39.1739321
429.5135803,29,24,3.686619541,-39.17393005,127.548996,29,24,3.686619541,-39.17393005
429.4667664,30,24,3.682319757,-39.17392784,127.6091766,30,24,3.682319757,-39.17392784
424.7747803,1,23,3.807016533,-39.17726117,127.2439194,1,23,3.807016533,-39.17726117
424.8608398,2,23,3.802716546,-39.17726338,127.3216858,2,23,3.802716546,-39.17726338
425.4797974,3,23,3.798416557,-39.17726543,127.2729721,3,23,3.798416557,-39.17726543
425.200531,4,23,3.794116568,-39.17726733,127.2183609,4,23,3.794116568,-39.17726733
425.4303284,5,23,3.789816579,-39.17726907,127.2464142,5,23,3.789816579,-39.17726907
425.0577393,6,23,3.785516589,-39.17727065,127.2430344,6,23,3.785516589,-39.17727065
425.5959778,7,23,3.781216598,-39.17727207,127.269455,7,23,3.781216598,-39.17727207
425.6094666,8,23,3.776916607,-39.17727333,127.3120956,8,23,3.776916607,-39.17727333
426.0258179,9,23,3.772616616,-39.17727444,127.4051056,9,23,3.772616616,-39.17727444
427.2547302,10,23,3.768316624,-39.17727539,127.4822922,10,23,3.768316624,-39.17727539
427.9211426,11,23,3.764016632,-39.17727618,127.5251846,11,23,3.764016632,-39.17727618
426.589386,12,23,3.75971664,-39.17727681,127.4704437,12,23,3.75971664,-39.17727681
425.5785217,13,23,3.755416648,-39.17727729,127.4845428,13,23,3.755416648,-39.17727729
426.688385,14,23,3.751116655,-39.1772776,127.5450287,14,23,3.751116655,-39.1772776
427.2797546,15,23,3.746816663,-39.17727776,127.5246429,15,23,3.746816663,-39.17727776
426.910675,16,23,3.74251667,-39.17727776,127.5014954,16,23,3.74251667,-39.17727776
426.8128662,17,23,3.738216678,-39.1772776,127.5406647,17,23,3.738216678,-39.1772776
427.6355591,18,23,3.733916686,-39.17727729,127.5161514,18,23,3.733916686,-39.17727729
427.8676147,19,23,3.729616693,-39.17727681,127.4940948,19,23,3.729616693,-39.17727681
427.9808655,20,23,3.725316701,-39.17727618,127.497673,20,23,3.725316701,-39.17727618
428.9619446,21,23,3.721016709,-39.17727539,127.5161133,21,23,3.721016709,-39.17727539
429.0960388,22,23,3.716716718,-39.17727444,127.5519485,22,23,3.716716718,-39.17727444
428.9577332,23,23,3.712416726,-39.17727333,127.624054,23,23,3.712416726,-39.17727333
428.8315125,24,23,3.708116735,-39.17727207,127.6428299,24,23,3.708116735,-39.17727207
429.9709473,25,23,3.703816745,-39.17727065,127.608017,25,23,3.703816745,-39.17727065
430.0720215,26,23,3.699516755,-39.17726907,127.6358948,26,23,3.699516755,-39.17726907
431.3047485,27,23,3.695216765,-39.17726733,127.6782532,27,23,3.695216765,-39.17726733
432.8587952,28,23,3.690916776,-39.17726543,127.8218842,28,23,3.690916776,-39.17726543
432.6009521,29,23,3.686616788,-39.17726338,127.8022156,29,23,3.686616788,-39.17726338
430.7876892,30,23,3.6823168,-39.17726117,127.7320786,30,23,3.6823168,-39.17726117
424.3465576,1,22,3.807019491,-39.1805945,127.3153229,1,22,3.807019491,-39.1805945
424.7693176,2,22,3.802719299,-39.18059671,127.3056412,2,22,3.802719299,-39.18059671
425.1722412,3,22,3.798419107,-39.18059876,127.3413696,3,22,3.798419107,-39.18059876
425.8745117,4,22,3.794118914,-39.18060066,127.2959595,4,22,3.794118914,-39.18060066
425.0212097,5,22,3.78981872,-39.1806024,127.2705765,5,22,3.78981872,-39.1806024
425.6264038,6,22,3.785518526,-39.18060398,127.3140259,6,22,3.785518526,-39.18060398
426.1119385,7,22,3.781218332,-39.1806054,127.2842789,7,22,3.781218332,-39.1806054
426.0507507,8,22,3.776918137,-39.18060667,127.4213333,8,22,3.776918137,-39.18060667
426.3052673,9,22,3.772617942,-39.18060777,127.3983154,9,22,3.772617942,-39.18060777
427.0357361,10,22,3.768317746,-39.18060872,127.4443512,10,22,3.768317746,-39.18060872
427.4494324,11,22,3.76401755,-39.18060951,127.5752945,11,22,3.76401755,-39.18060951
426.8165283,12,22,3.759717354,-39.18061014,127.568634,12,22,3.759717354,-39.18061014
426.7883301,13,22,3.755417158,-39.18061062,127.564209,13,22,3.755417158,-39.18061062
428.3283691,14,22,3.751116961,-39.18061093,127.5309219,14,22,3.751116961,-39.18061093
429.5003357,15,22,3.746816765,-39.18061109,127.5935287,15,22,3.746816765,-39.18061109
428.834198,16,22,3.742516568,-39.18061109,127.588623,16,22,3.742516568,-39.18061109
428.9160767,17,22,3.738216372,-39.18061093,127.6511154,17,22,3.738216372,-39.18061093
430.0735779,18,22,3.733916176,-39.18061062,127.6104202,18,22,3.733916176,-39.18061062
429.3901062,19,22,3.729615979,-39.18061014,127.6932449,19,22,3.729615979,-39.18061014
430.4417725,20,22,3.725315783,-39.18060951,127.7452545,20,22,3.725315783,-39.18060951
431.494812,21,22,3.721015587,-39.18060872,127.7697067,21,22,3.721015587,-39.18060872
434.5840454,22,22,3.716715392,-39.18060777,127.8916168,22,22,3.716715392,-39.18060777
433.6659851,23,22,3.712415196,-39.18060667,127.8568573,23,22,3.712415196,-39.18060667
433.0195923,24,22,3.708115002,-39.1806054,127.893219,24,22,3.708115002,-39.1806054
432.8303223,25,22,3.703814807,-39.18060398,127.977211,25,22,3.703814807,-39.18060398
433.7301941,26,22,3.699514613,-39.1806024,128.0748596,26,22,3.699514613,-39.1806024
437.6166687,27,22,3.695214419,-39.18060066,128.2256012,27,22,3.695214419,-39.18060066
440.6235657,28,22,3.690914226,-39.18059876,128.4080963,28,22,3.690914226,-39.18059876
433.9615173,29,22,3.686614034,-39.18059671,128.1815186,29,22,3.686614034,-39.18059671
432.8627014,30,22,3.682313842,-39.1805945,127.8829498,30,22,3.682313842,-39.1805945
424.9645081,1,21,3.807022449,-39.18392783,127.2950287,1,21,3.807022449,-39.18392783
425.5250549,2,21,3.802722053,-39.18393004,127.3493347,2,21,3.802722053,-39.18393004
425.1317749,3,21,3.798421657,-39.1839321,127.2695618,3,21,3.798421657,-39.1839321
425.5007629,4,21,3.79412126,-39.18393399,127.265976,4,21,3.79412126,-39.18393399
425.5990601,5,21,3.789820862,-39.18393573,127.285202,5,21,3.789820862,-39.18393573
426.5121765,6,21,3.785520464,-39.18393731,127.3037643,6,21,3.785520464,-39.18393731
426.839386,7,21,3.781220066,-39.18393873,127.3230133,7,21,3.781220066,-39.18393873
426.3652649,8,21,3.776919667,-39.18394,127.526001,8,21,3.776919667,-39.18394
426.5773315,9,21,3.772619268,-39.18394111,127.4759293,9,21,3.772619268,-39.18394111
426.92276,10,21,3.768318868,-39.18394205,127.48452,10,21,3.768318868,-39.18394205
426.9247437,11,21,3.764018468,-39.18394284,127.5128937,11,21,3.764018468,-39.18394284
427.8288574,12,21,3.759718068,-39.18394348,127.5906525,12,21,3.759718068,-39.18394348
427.9286499,13,21,3.755417668,-39.18394395,127.5536652,13,21,3.755417668,-39.18394395
429.1931763,14,21,3.751117267,-39.18394427,127.618103,14,21,3.751117267,-39.18394427
429.8703613,15,21,3.746816867,-39.18394443,127.736496,15,21,3.746816867,-39.18394443
429.9373779,16,21,3.742516466,-39.18394443,127.7795029,16,21,3.742516466,-39.18394443
431.6043701,17,21,3.738216066,-39.18394427,127.8542175,17,21,3.738216066,-39.18394427
433.7815247,18,21,3.733915666,-39.18394395,127.9159927,18,21,3.733915666,-39.18394395
432.7171021,19,21,3.729615265,-39.18394348,127.9562988,19,21,3.729615265,-39.18394348
433.6247253,20,21,3.725314865,-39.18394284,127.9483871,20,21,3.725314865,-39.18394284
437.5066223,21,21,3.721014465,-39.18394205,128.2108154,21,21,3.721014465,-39.18394205
443.1906433,22,21,3.716714066,-39.18394111,128.5515594,22,21,3.716714066,-39.18394111
441.7974854,23,21,3.712413666,-39.18394,128.4349518,23,21,3.712413666,-39.18394
441.3615112,24,21,3.708113268,-39.18393873,128.4303894,24,21,3.708113268,-39.18393873
442.1382141,25,21,3.703812869,-39.18393731,128.5413666,25,21,3.703812869,-39.18393731
438.6726685,26,21,3.699512471,-39.18393573,128.4107666,26,21,3.699512471,-39.18393573
439.9194336,27,21,3.695212073,-39.18393399,128.7783813,27,21,3.695212073,-39.18393399
443.3671265,28,21,3.690911676,-39.1839321,128.9780579,28,21,3.690911676,-39.1839321
437.7712708,29,21,3.68661128,-39.18393004,128.4774628,29,21,3.68661128,-39.18393004
434.8974609,30,21,3.682310884,-39.18392783,128.0612793,30,21,3.682310884,-39.18392783
425.2612915,1,20,3.807025407,-39.18726116,127.2832947,1,20,3.807025407,-39.18726116
425.77948,2,20,3.802724808,-39.18726337,127.3226929,2,20,3.802724808,-39.18726337
425.1505432,3,20,3.798424207,-39.18726543,127.3192902,3,20,3.798424207,-39.18726543
425.5461426,4,20,3.794123606,-39.18726732,127.2574463,4,20,3.794123606,-39.18726732
425.8618469,5,20,3.789823005,-39.18726906,127.3683624,5,20,3.789823005,-39.18726906
426.3186646,6,20,3.785522403,-39.18727064,127.3983078,6,20,3.785522403,-39.18727064
426.3360596,7,20,3.7812218,-39.18727207,127.409996,7,20,3.7812218,-39.18727207
426.9538879,8,20,3.776921197,-39.18727333,127.4825897,8,20,3.776921197,-39.18727333
426.8070068,9,20,3.772620594,-39.18727444,127.5311127,9,20,3.772620594,-39.18727444
428.2329712,10,20,3.76831999,-39.18727539,127.5270538,10,20,3.76831999,-39.18727539
427.6296082,11,20,3.764019386,-39.18727618,127.5698776,11,20,3.764019386,-39.18727618
428.1772461,12,20,3.759718782,-39.18727681,127.6268311,12,20,3.759718782,-39.18727681
430.6751099,13,20,3.755418178,-39.18727728,127.8354034,13,20,3.755418178,-39.18727728
431.532196,14,20,3.751117573,-39.1872776,127.8231506,14,20,3.751117573,-39.1872776
431.9753418,15,20,3.746816969,-39.18727776,127.9521179,15,20,3.746816969,-39.18727776
